"","vivienda","hogar","ind","Tiempo_labores_no_rem"
"289",347,1,1,400
"290",349,1,1,390
"291",349,1,2,725
"292",350,1,1,0
"293",350,1,2,110
"294",350,1,3,0
"295",350,1,4,0
"296",351,1,1,430
"297",351,1,2,90
"298",353,1,1,0
"299",353,1,2,350
"300",354,1,1,235
"301",354,1,2,0
"302",358,1,1,20
"303",358,1,2,0
"304",358,1,3,0
"305",360,1,1,0
"306",360,1,2,210
"307",364,1,1,200
"308",364,1,2,10
"309",368,1,1,180
"310",369,1,1,0
"311",369,1,2,315
"312",369,1,5,0
"313",370,1,1,140
"314",371,1,1,65
"315",374,1,1,187
"316",374,1,2,292
"317",374,1,3,181
"318",375,1,1,0
"319",375,1,2,180
"320",375,1,3,150
"321",378,1,1,37
"322",378,1,2,40
"323",380,1,1,190
"324",383,1,1,0
"325",383,1,2,335
"326",383,1,3,220
"327",387,1,1,0
"328",387,1,2,240
"329",396,1,1,150
"330",396,1,2,30
"331",397,1,1,460
"332",397,1,2,30
"333",398,1,1,120
"334",398,1,2,0
"335",400,1,1,330
"336",400,1,2,0
"337",403,1,1,180
"338",403,1,2,630
"339",403,1,3,60
"340",403,1,4,60
"341",404,1,1,270
"342",409,1,1,0
"343",409,1,2,285
"344",411,1,1,20
"345",411,1,2,120
"346",411,1,3,0
"347",411,1,4,320
"348",411,1,5,0
"349",416,1,1,0
"350",416,1,2,310
"351",416,2,1,40
"352",416,2,2,100
"353",416,3,1,210
"354",416,3,2,25
"355",416,3,3,100
"356",417,1,1,210
"357",418,1,1,135
"358",418,1,2,0
"359",420,1,1,150
"360",420,1,2,120
"361",421,1,1,180
"362",421,1,2,210
"363",426,1,1,30
"364",426,1,2,150
"365",426,1,3,50
"366",429,1,1,40
"367",429,1,2,68
"368",431,1,1,0
"369",431,1,2,510
"370",431,1,3,60
"371",437,1,1,160
"372",437,1,2,305
"373",439,1,1,210
"374",440,1,1,0
"375",440,1,2,240
"376",441,1,1,90
"377",441,1,2,91
"378",443,1,1,1
"379",443,1,2,270
"380",446,1,1,190
"381",446,1,2,0
"382",447,1,1,110
"383",447,1,2,0
"384",447,1,3,0
"385",447,1,4,377
"386",449,1,1,180
"387",449,1,2,420
"388",451,1,1,40
"389",452,1,1,0
"390",452,1,2,360
"391",453,1,1,270
"392",455,1,1,125
"393",455,1,2,60
"394",460,1,1,200
"395",460,1,2,60
"396",462,1,1,420
"397",462,1,2,0
"398",464,1,1,0
"399",464,1,2,110
"400",465,1,1,0
"401",465,1,2,270
"402",465,1,3,0
"403",465,1,4,395
"404",466,1,1,30
"405",467,1,1,330
"406",469,1,1,360
"407",469,1,2,0
"408",469,1,3,285
"409",470,1,1,150
"410",470,1,2,0
"411",470,1,3,30
"412",471,1,1,180
"413",471,1,2,0
"414",471,1,3,180
"415",471,1,4,120
"416",472,1,1,205
"417",474,1,1,120
"418",474,1,2,0
"419",477,1,1,305
"420",477,1,2,90
"421",477,1,3,0
"422",477,1,4,0
"423",478,1,1,275
"424",484,1,1,240
"425",484,1,2,240
"426",484,1,3,150
"427",484,1,4,0
"428",488,1,1,240
"429",488,1,2,60
"430",488,1,3,30
"431",491,1,1,180
"432",491,1,2,60
"433",494,1,1,100
"434",495,1,1,330
"435",496,1,1,190
"436",496,1,2,30
"437",496,1,3,0
"438",496,1,4,32
"439",496,1,5,0
"440",496,1,6,95
"441",498,1,1,365
"442",498,1,2,35
"443",507,1,1,0
"444",507,1,2,240
"445",508,1,1,505
"446",508,1,2,60
"447",508,1,3,0
"448",508,1,4,0
"449",511,1,1,90
"450",511,1,2,295
"451",511,1,3,0
"452",511,1,4,335
"453",511,1,5,30
"454",512,1,1,195
"455",513,1,1,0
"456",517,1,1,180
"457",517,1,2,180
"458",517,1,3,0
"459",518,1,1,55
"460",525,1,1,260
"461",525,1,4,470
"462",530,1,1,270
"463",530,1,2,0
"464",530,1,4,210
"465",534,1,1,135
"466",535,1,1,92
"467",535,1,2,0
"468",535,1,3,0
"469",536,1,1,0
"470",536,1,2,165
"471",542,1,1,110
"472",546,1,1,0
"473",549,1,1,150
"474",549,1,2,80
"475",549,1,3,15
"476",552,1,1,255
"477",552,1,2,120
"478",553,1,1,40
"479",553,1,2,400
"480",553,1,3,0
"481",553,1,4,0
"482",555,1,1,120
"483",555,1,2,705
"484",555,1,3,0
"485",555,1,4,0
"486",555,1,5,40
"487",555,1,6,120
"488",557,1,1,180
"489",557,1,2,210
"490",557,1,3,60
"491",563,1,1,180
"492",567,1,1,120
"493",567,1,2,470
"494",568,1,1,540
"495",568,1,2,60
"496",569,1,1,220
"497",569,1,2,0
"498",569,1,3,30
"499",569,1,4,10
"500",569,1,5,30
"501",577,1,1,0
"502",577,1,2,300
"503",579,1,1,300
"504",583,1,1,105
"505",583,1,2,210
"506",585,1,1,530
"507",587,1,1,60
"508",587,1,2,150
"509",587,1,3,40
"510",589,1,1,350
"511",592,1,1,240
"512",592,1,2,285
"513",596,1,1,270
"514",596,1,2,0
"515",596,1,3,0
"516",597,1,1,465
"517",597,1,2,30
"518",598,1,1,15
"519",599,1,1,90
"520",599,1,2,335
"521",599,1,3,120
"522",599,1,4,0
"523",601,1,1,0
"524",601,1,2,240
"525",604,1,1,190
"526",608,1,1,0
"527",608,1,2,165
"528",608,1,3,0
"529",608,1,4,60
"530",608,1,5,0
"531",612,1,1,160
"532",616,1,1,270
"533",622,1,1,160
"534",626,1,1,240
"535",626,1,2,0
"536",629,1,1,160
"537",629,1,2,145
"538",629,1,3,16
"539",635,1,1,295
"540",635,1,2,30
"541",635,1,3,120
"542",635,1,4,0
"543",638,1,1,175
"544",638,1,2,30
"545",643,1,1,420
"546",643,1,2,240
"547",643,1,3,0
"548",643,1,4,0
"549",643,1,5,0
"550",644,1,1,30
"551",644,1,2,155
"552",646,1,1,360
"553",646,1,2,60
"554",648,1,1,160
"555",648,1,2,0
"556",649,1,1,0
"557",649,1,2,380
"558",649,1,3,30
"559",649,1,4,0
"560",651,1,1,350
"561",655,1,1,420
"562",655,1,2,0
"563",655,1,3,60
"564",658,1,1,0
"565",662,1,1,600
"566",665,1,1,60
"567",669,1,1,85
"568",671,1,1,0
"569",671,1,2,135
"570",671,1,3,0
"571",671,1,4,0
"572",671,1,5,0
"573",671,1,6,125
"574",672,1,1,45
"575",673,1,1,0
"576",673,1,2,305
"577",673,1,3,15
"578",675,1,1,0
"579",675,1,2,460
"580",675,1,3,60
"581",675,1,4,0
"582",675,1,5,465
"583",675,1,6,0
"584",675,1,7,420
"585",677,1,1,0
"586",677,1,2,230
"587",682,1,1,305
"588",682,1,2,0
"589",682,1,3,0
"590",682,1,4,75
"591",684,1,1,240
"592",684,1,2,620
"593",685,1,1,120
"594",685,1,2,240
"595",685,1,3,0
"596",686,1,1,225
"597",688,1,1,303
"598",688,1,2,170
"599",693,1,1,165
"600",693,1,2,300
"601",693,1,3,0
"602",693,1,4,60
"603",696,1,1,210
"604",697,1,1,240
"605",697,1,2,270
"606",699,1,1,150
"607",699,1,2,15
"608",704,1,1,0
"609",704,1,2,170
"610",704,1,3,45
"611",710,1,1,110
"612",710,1,2,330
"613",712,1,1,10
"614",712,1,2,60
"615",712,1,3,20
"616",713,1,1,250
"617",714,1,1,75
"618",714,1,2,260
"619",717,1,1,180
"620",717,1,2,0
"621",717,1,3,0
"622",717,1,4,120
"623",719,1,1,120
"624",719,1,2,220
"625",722,1,1,317
"626",727,1,1,105
"627",727,1,2,545
"628",1413,1,1,30
"629",1413,1,2,180
"630",1414,1,1,25
"631",1414,1,2,240
"632",1414,1,3,300
"633",1416,1,1,0
"634",1416,1,2,0
"635",1417,1,1,160
"636",1417,1,2,225
"637",1417,1,3,60
"638",1418,1,1,20
"639",1418,1,2,410
"640",1421,1,1,160
"641",1421,1,2,20
"642",1421,1,3,370
"643",1421,1,4,195
"644",1423,1,1,60
"645",1423,1,2,80
"646",1423,1,3,100
"647",1424,1,1,0
"648",1424,1,2,180
"649",1424,1,3,330
"650",1424,1,4,60
"651",1425,1,1,0
"652",1425,1,2,420
"653",1426,1,1,75
"654",1426,1,2,0
"655",1426,1,3,0
"656",1426,1,4,80
"657",1429,1,1,52
"658",1431,1,1,105
"659",1431,1,2,0
"660",1431,1,3,0
"661",1431,1,4,0
"662",1434,1,1,210
"663",1434,1,2,125
"664",1435,1,1,0
"665",1435,1,2,12
"666",1435,1,3,165
"667",1441,1,1,150
"668",1441,1,2,180
"669",1442,1,1,0
"670",1442,1,2,75
"671",1442,1,3,0
"672",1442,1,4,0
"673",1444,1,1,240
"674",1444,1,2,0
"675",1449,1,1,0
"676",1449,1,2,300
"677",1449,1,3,600
"678",1449,1,4,0
"679",1450,1,1,170
"680",1450,1,2,50
"681",1450,1,3,30
"682",1450,1,4,600
"683",1453,1,1,110
"684",1453,1,2,0
"685",1453,1,3,10
"686",1453,1,4,0
"687",1454,1,1,0
"688",1454,1,2,380
"689",1454,1,3,0
"690",1456,1,1,0
"691",1456,1,2,570
"692",1456,1,3,90
"693",1456,1,4,360
"694",1456,1,5,0
"695",1456,1,7,20
"696",1456,1,8,330
"697",1457,1,1,0
"698",1457,1,2,360
"699",1460,1,1,180
"700",1461,1,1,35
"701",1461,1,2,0
"702",1461,1,3,15
"703",1461,1,4,120
"704",1462,1,1,0
"705",1462,1,2,255
"706",1465,1,1,0
"707",1465,1,2,0
"708",1469,1,1,0
"709",1469,1,2,480
"710",1469,1,3,0
"711",1470,1,1,0
"712",1470,1,2,150
"713",1477,1,1,360
"714",1477,1,2,60
"715",1477,1,3,0
"716",1477,1,4,0
"717",1478,1,1,145
"718",1478,1,2,85
"719",1478,1,3,0
"720",1479,1,1,0
"721",1479,1,2,60
"722",1483,1,1,0
"723",1483,1,2,315
"724",1483,1,3,60
"725",1484,1,1,0
"726",1484,1,3,270
"727",1484,1,4,0
"728",1487,1,1,30
"729",1487,1,2,130
"730",1487,1,3,0
"731",1490,1,1,0
"732",1490,1,2,280
"733",1490,1,3,240
"734",1491,1,1,390
"735",1492,1,1,0
"736",1492,1,2,265
"737",1492,1,3,40
"738",1492,1,4,60
"739",1495,1,1,0
"740",1495,1,2,150
"741",1495,1,3,0
"742",1501,1,1,480
"743",1501,1,2,0
"744",1502,1,1,165
"745",1503,1,1,0
"746",1503,1,2,265
"747",1503,1,3,0
"748",1503,1,4,0
"749",1505,1,1,20
"750",1505,1,2,215
"751",1506,1,1,90
"752",1506,1,2,60
"753",1510,1,1,46
"754",1510,1,2,0
"755",1510,1,3,15
"756",1511,1,1,180
"757",1511,1,2,0
"758",1511,1,3,30
"759",1512,1,1,0
"760",1517,1,1,225
"761",1519,1,1,330
"762",1520,1,1,260
"763",1520,1,2,0
"764",1521,1,1,330
"765",1526,1,1,270
"766",1526,1,2,0
"767",1526,1,3,0
"768",1528,1,1,180
"769",1529,1,1,20
"770",1529,1,2,120
"771",1531,1,1,90
"772",1531,1,2,220
"773",1531,1,3,80
"774",1532,1,1,115
"775",1532,1,2,80
"776",1534,1,1,0
"777",1534,1,2,320
"778",1534,1,3,0
"779",1538,1,1,110
"780",1539,1,1,150
"781",1539,1,2,195
"782",1543,1,1,240
"783",1543,1,2,0
"784",1543,1,3,0
"785",1544,1,1,45
"786",1544,1,2,0
"787",1546,1,1,300
"788",1547,1,1,615
"789",1547,1,2,0
"790",1549,1,1,410
"791",1549,1,2,0
"792",1551,1,1,0
"793",1552,1,1,360
"794",1552,1,2,0
"795",1553,1,1,0
"796",1553,1,2,120
"797",1553,1,3,0
"798",1553,1,4,360
"799",1555,1,1,180
"800",1555,1,2,0
"801",1555,1,3,0
"802",1555,1,4,0
"803",1557,1,1,0
"804",1557,1,2,160
"805",1559,1,1,60
"806",1559,1,2,360
"807",1562,1,1,420
"808",1565,1,1,60
"809",1565,1,2,195
"810",1565,1,3,200
"811",1566,1,1,0
"812",1566,1,2,390
"813",1567,1,1,30
"814",1567,1,2,445
"815",1569,1,1,0
"816",1569,1,2,315
"817",1570,1,1,570
"818",1570,1,2,90
"819",1570,1,3,480
"820",1570,1,4,0
"821",1571,1,1,40
"822",1571,1,2,230
"823",1571,1,3,125
"824",1571,1,4,10
"825",1577,1,1,60
"826",1577,1,2,20
"827",1577,1,3,10
"828",1577,1,4,180
"829",1577,1,7,20
"830",1577,1,8,0
"831",1579,1,1,210
"832",1581,1,1,80
"833",1585,1,1,60
"834",1585,1,2,60
"835",1586,1,1,510
"836",1587,1,1,140
"837",1587,1,2,120
"838",1587,1,3,0
