"","vivienda","hogar","tipo_ocupacion","subsidio","lavadora","secadora","nevera","licuadora","plancha","estufa","horno","lava_platos","aspiradora","automovil","motocicleta","servicio_dom"
"3371",7979,1,2,0,1,0,1,0,1,1,0,0,0,1,0,0
"3372",7980,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0
"3373",7982,1,3,0,1,0,0,1,0,1,0,0,0,0,0,0
"3374",7983,1,2,0,0,0,1,1,1,1,1,0,0,0,0,0
"3375",7987,1,4,0,1,0,1,1,0,1,1,0,0,0,0,0
"3376",7989,1,1,0,0,0,1,1,0,1,0,0,0,0,1,0
"3377",7991,1,3,0,1,0,1,1,1,1,0,0,0,0,1,0
"3378",7994,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0
"3379",7995,1,3,0,0,0,0,0,1,1,0,0,0,0,0,0
"3380",7996,1,3,0,1,0,1,1,1,1,1,0,0,0,0,0
"3381",7997,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0
"3382",7998,1,3,0,0,0,0,0,0,1,1,0,0,0,0,0
"3383",8002,1,3,1,0,0,1,1,0,1,0,0,0,0,0,0
"3384",8003,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0
"3385",8004,1,3,1,1,1,1,1,0,0,0,0,0,0,0,0
"3386",8007,1,2,0,1,0,1,1,1,1,0,0,0,1,0,0
"3387",8010,1,1,0,1,0,1,1,0,1,0,0,0,0,1,0
"3388",8011,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
"3389",8012,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0
"3390",8014,1,1,0,1,0,1,1,1,1,0,1,0,0,0,0
"3391",8015,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0
"3392",8016,1,3,0,1,0,1,1,1,1,0,0,0,0,0,0
"3393",8017,1,3,0,0,0,1,1,1,1,0,0,0,0,0,0
"3394",8019,1,1,0,0,1,1,1,1,1,0,0,0,1,0,0
"3395",8020,1,3,0,1,0,1,1,1,1,1,0,0,0,1,0
"3396",8021,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
"3397",8025,1,3,0,1,0,1,1,0,1,0,0,0,0,0,0
"3398",8027,1,3,0,1,0,1,1,1,1,0,0,0,0,0,0
"3399",8029,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
"3400",8030,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
"3401",8031,1,5,0,0,0,1,1,0,1,0,0,0,0,0,0
"3402",8032,1,2,0,1,1,1,1,1,1,1,0,1,1,0,0
"3403",8033,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0
"3404",8037,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0
"3405",8039,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0
"3406",8040,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0
"3407",8041,1,4,0,1,0,1,1,0,1,0,0,0,0,0,0
"3408",8042,1,3,0,1,0,1,0,0,1,0,0,0,0,0,0
"3409",8043,1,3,0,1,0,1,1,0,1,0,0,0,0,1,0
"3410",8045,1,3,0,0,0,1,1,0,0,0,0,0,0,0,0
"3411",8047,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0
"3412",8048,1,4,0,0,0,1,0,0,1,0,0,0,0,0,0
"3413",8051,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0
"3414",8052,1,3,0,1,0,1,0,1,1,1,0,0,0,0,0
"3415",8054,1,1,0,1,0,1,1,1,1,1,0,0,1,0,0
"3416",8056,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0
"3417",8057,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0
"3418",8059,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0
"3419",8060,1,1,0,1,0,1,1,1,1,0,0,0,1,0,0
"3420",8063,1,2,0,1,1,1,1,1,1,1,0,1,1,0,0
"3421",8065,1,4,1,1,0,1,1,0,1,0,0,0,0,0,0
"3422",8070,1,3,0,0,0,1,1,1,1,0,0,0,0,0,0
"3423",8071,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0
"3424",8072,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0
"3425",8076,1,1,0,1,0,1,1,1,1,1,0,1,1,0,0
"3426",8082,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1
"3427",8083,1,1,0,1,0,1,1,1,1,1,0,0,0,1,0
"3428",8085,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0
"3429",8088,1,4,0,1,0,1,1,0,1,0,0,0,0,0,0
"3430",8090,1,3,1,1,0,1,1,1,1,1,0,0,0,1,0
"3431",8091,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0
"3432",8092,1,3,0,1,0,1,1,1,1,0,0,0,0,0,0
"3433",8093,1,1,0,1,0,1,1,1,1,0,0,0,0,1,0
"3434",8097,1,3,1,1,0,1,1,1,1,0,0,0,0,0,0
"3435",8098,1,1,0,1,0,1,1,1,1,1,0,1,1,0,1
"3436",8100,1,3,0,1,0,1,1,1,1,0,0,0,0,1,0
"3437",8101,1,3,1,1,0,1,1,0,1,0,0,0,0,0,0
"3438",8102,1,1,0,1,0,1,1,0,1,0,0,0,0,1,0
"3439",8104,1,3,0,1,0,1,1,0,1,1,0,0,0,1,0
"3440",8109,1,3,0,1,0,1,1,1,1,1,0,0,0,1,0
"3441",8112,1,3,0,1,0,1,1,1,1,1,0,0,0,0,0
"3442",8113,1,3,0,1,0,1,1,1,1,0,0,0,1,0,0
"3443",8115,1,1,0,1,0,1,1,1,1,1,0,1,1,0,1
"3444",8119,1,3,0,1,0,1,1,1,1,0,0,0,0,0,0
"3445",8120,1,3,0,0,0,1,1,1,1,0,0,0,0,0,0
"3446",8121,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0
"3447",8125,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0
"3448",8131,1,1,0,1,0,1,1,1,1,1,0,0,1,0,0
"3449",8132,1,1,0,1,1,1,0,0,1,0,0,1,0,1,0
"3450",8134,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0
"3451",8135,1,3,0,0,0,1,1,1,1,0,0,0,0,0,0
