"","vivienda","hogar","ind","jardin","tiempo_jardin","tiempo_esparcimiento_ninos"
"200",3812,1,5,0,0,0
"201",3813,1,6,1,0,0
"202",3814,1,5,0,0,0
"203",3824,1,4,0,0,0
"204",3843,1,4,0,0,0
"205",3856,1,4,0,0,0
"206",3864,1,3,1,0,0
"207",3866,1,4,1,0,0
"208",3867,1,6,1,0,0
"209",3890,1,4,0,0,0
"210",3899,1,3,1,4,0
"211",3908,1,9,0,0,0
"212",3918,1,4,1,0,0
"213",3918,1,5,0,0,0
"214",3924,1,5,0,0,0
"215",3924,1,6,0,0,0
"216",3925,1,4,1,0,0
"217",3931,1,6,0,0,0
"218",3959,1,5,0,0,0
"219",3963,1,2,0,0,0
"220",3970,1,4,1,0,0
"221",4002,1,6,0,0,0
"222",4008,1,3,0,0,0
"223",4009,1,8,0,0,0
"224",4011,1,6,1,0,0
"225",4019,1,4,1,0,0
"226",4020,1,5,1,0,0
"227",4020,1,6,0,0,0
"228",4033,1,6,1,0,0
"229",4037,1,4,1,0,0
"230",4049,1,3,0,0,0
"231",4049,1,4,0,0,0
"232",4052,1,5,0,0,0
"233",4080,1,6,1,0,0
"234",4084,1,4,0,0,0
"235",4098,1,3,0,0,0
"236",4099,1,6,0,0,0
"237",4105,1,4,0,0,0
"238",4105,1,5,0,0,0
"239",4118,1,3,0,0,0
"240",4118,1,4,0,0,0
"241",4142,1,4,1,0,0
"242",4147,1,5,0,0,0
"243",4163,1,3,0,0,0
"244",4167,1,4,0,0,0
"245",4171,1,4,0,0,0
"246",4177,1,3,0,0,0
"247",4180,1,3,0,0,0
"248",4185,1,4,0,0,0
"249",4201,1,3,1,0,0
"250",4201,1,4,0,0,0
"251",4201,1,5,0,0,0
"252",4222,1,3,0,0,0
"253",4228,1,3,0,0,0
"254",4240,1,4,1,0,0
"255",4242,1,5,1,0,0
"256",4249,1,5,0,0,0
"257",4254,1,4,1,0,0
"258",4254,1,5,0,0,0
"259",4258,1,4,1,1,0
"260",4268,1,4,0,0,0
"261",4275,1,5,1,0,0
"262",4299,1,4,0,0,0
"263",4314,1,4,0,0,0
"264",4327,1,4,0,0,0
"265",4337,1,3,0,0,0
"266",4337,1,4,0,0,0
"267",4367,1,3,0,0,0
"268",4372,1,6,1,4,0
"269",4374,1,3,0,0,0
"270",4374,1,4,0,0,0
"271",4389,1,4,0,0,0
"272",4391,1,4,0,0,0
"273",4392,1,4,0,0,0
"274",4399,1,4,0,0,0
"275",4404,1,6,1,0,0
"276",4413,1,4,0,0,0
"277",4419,1,3,0,0,0
"278",4421,1,4,0,0,0
"279",4424,2,2,0,0,0
"280",4444,1,6,0,0,0
"281",4449,1,3,0,0,0
"282",4479,1,5,0,0,0
"283",4512,1,5,0,0,0
"284",4522,1,8,0,0,0
"285",4522,2,4,0,0,0
"286",4538,1,6,0,0,0
"287",4552,1,6,0,0,0
"288",4564,1,3,0,0,0
"289",4577,1,3,0,0,0
"290",4577,1,4,0,0,0
"291",4580,1,4,0,0,0
"292",4588,1,2,1,1,0
"293",4594,1,5,0,0,0
"294",4597,1,4,0,0,0
"295",4603,1,3,1,0,0
"296",4605,1,4,0,0,0
