"","vivienda","tipo_vivienda","electricidad","acueducto","alcantarillado","recoleccion_basuras","internet","gas","mes_ref","dia_ref","cabecera","region"
"22619",39713,1,1,1,0,1,0,0,2,7,1,4
"22620",39714,1,1,1,1,1,0,1,2,7,1,5
"22621",39715,1,1,1,0,0,0,1,2,6,0,4
"22622",39716,2,1,1,1,1,1,1,2,2,1,1
"22623",39717,2,1,1,1,1,1,1,2,1,1,1
"22624",39718,2,1,1,1,1,1,1,2,3,1,2
"22625",39719,1,1,1,0,0,0,0,2,1,0,4
"22626",39720,1,1,1,1,1,1,1,2,1,1,2
"22627",39721,2,1,1,0,1,0,0,2,3,1,1
"22628",39722,2,1,1,1,1,1,1,2,4,1,5
"22629",39724,1,1,1,1,1,1,1,2,1,1,4
"22630",39725,1,1,1,0,1,0,0,2,6,1,4
"22631",39726,2,1,1,1,1,1,0,2,1,1,4
"22632",39729,1,1,1,0,0,1,1,2,2,0,4
"22633",39731,2,1,1,1,1,1,1,2,5,1,5
"22634",39732,2,1,1,1,1,1,1,2,3,1,1
"22635",39733,2,1,1,1,1,1,1,2,1,1,2
"22636",39734,2,1,1,1,1,1,1,2,7,1,4
"22637",39735,1,1,0,1,1,1,0,2,1,1,6
"22638",39737,2,1,1,0,0,0,1,2,6,0,4
"22639",39739,1,1,1,1,1,0,1,2,7,1,1
"22640",39740,2,1,1,1,1,1,1,2,5,1,5
"22641",39741,2,1,1,1,1,1,1,2,3,1,5
"22642",39743,1,1,1,1,1,1,1,2,2,1,2
"22643",39744,2,1,1,1,1,1,1,2,4,1,5
"22644",39745,1,1,1,1,1,1,1,2,3,1,3
"22645",39746,2,1,1,1,1,1,0,2,1,1,4
"22646",39747,2,1,1,1,1,1,1,2,3,1,5
"22647",39749,2,1,1,0,1,0,0,2,2,1,1
"22648",39752,1,1,1,1,1,0,1,2,6,1,2
"22649",39754,1,1,1,1,1,1,0,2,1,1,4
"22650",39755,1,1,1,1,1,1,1,2,5,1,1
"22651",39758,2,1,1,1,1,0,1,2,2,1,2
"22652",39759,2,1,1,1,1,1,1,2,2,1,2
"22653",39760,1,1,1,1,1,1,1,2,4,1,2
"22654",39762,2,1,1,0,1,0,1,2,3,0,1
"22655",39763,1,1,1,1,1,1,1,2,2,1,5
"22656",39764,1,1,1,0,1,0,1,2,3,1,1
"22657",39766,1,1,1,0,0,0,0,2,5,0,4
"22658",39769,1,1,1,1,1,1,1,2,1,1,4
"22659",39771,1,1,1,0,0,1,0,2,1,1,4
"22660",39772,2,1,1,1,1,0,1,2,5,1,2
"22661",39778,3,1,1,1,1,1,1,2,3,1,5
"22662",39779,1,1,1,1,0,1,1,2,1,0,4
"22663",39780,2,1,1,1,1,1,1,2,1,1,4
"22664",39783,1,1,0,0,0,0,1,2,5,0,4
"22665",39784,1,1,1,0,0,0,0,2,5,0,4
"22666",39786,1,1,1,0,0,0,1,2,4,0,4
"22667",39787,1,1,1,0,0,1,0,2,6,0,4
"22668",39789,2,1,1,1,1,1,1,2,2,1,2
"22669",39790,1,1,1,1,1,1,1,2,2,1,4
"22670",39792,1,1,1,1,1,1,1,2,1,0,4
"22671",39793,2,1,1,0,1,1,1,2,5,1,4
"22672",39794,1,1,1,1,1,1,1,2,2,1,2
"22673",39795,2,1,1,1,1,1,1,2,3,1,4
"22674",39796,1,1,1,1,0,1,1,2,1,0,4
"22675",39799,1,1,1,0,0,0,0,2,5,0,4
"22676",39800,1,1,1,0,0,0,0,2,6,0,4
"22677",39801,1,1,1,1,1,1,1,2,1,0,4
"22678",39802,1,1,1,1,1,1,1,2,3,1,1
"22679",39804,1,1,1,0,0,0,0,2,2,0,4
"22680",39805,2,1,1,0,0,0,0,2,5,1,4
"22681",39806,1,1,1,1,1,0,1,2,5,1,1
"22682",39808,2,1,1,1,1,1,0,2,5,1,4
"22683",39809,2,1,1,1,1,1,1,2,2,1,5
"22684",39813,2,1,1,0,1,1,1,2,3,1,4
"22685",39814,2,1,1,1,1,0,1,2,4,1,2
"22686",39816,2,1,0,1,1,1,0,2,1,1,6
"22687",39818,2,1,1,1,1,1,1,2,3,1,2
"22688",39820,2,1,1,1,1,1,1,2,2,1,5
