DIRECTORIO,SECUENCIA_P,ORDEN,P1165,P1164,P1178,P1178S1,P1163_1,P1163S1,P1163_2,P1163S2,P1163_3,P1163S3,P1163_4,P1163S4,P1162S1,P1162S1A1,P1162S1A2,P1162S2,P1162S2A1,P1162S2A2,P1162S3,P1162S3A1,P1162S3A2,P1162S4,P1162S4A1,P1162S4A2,P1162S5,P1162S5A1,P1162S5A2,P1162S6,P1162S6A1,P1162S6A2,F_EXP
17798,1,5,2,,,,1,24,,,,,,,1,2,0,1,3,0,1,13,0,,,,,,,,,,412.6514658
17802,1,6,2,,,,1,20,,,,,,,1,1,0,1,4,0,1,7,0,,,,,,,,,,287.97413481
17809,1,5,2,,,,1,24,,,,,,,1,0,30,1,6,0,1,8,0,,,,,,,,,,335.08244907
17810,1,3,1,1,2,,1,24,,,,,,,1,3,0,1,6,0,1,10,0,,,,,,,,,,147.84356431
17837,1,3,2,,,,1,24,,,,,,,,,,1,5,0,1,9,0,,,,,,,,,,321.74220094
17848,1,3,2,,,,1,24,,,,,,,1,4,0,1,3,0,1,10,0,,,,,,,,,,279.10665897
17850,1,4,2,,,,1,24,,,,,,,1,5,0,1,8,0,1,11,0,,,,,,,,,,212.3088066
17853,1,3,1,1,2,,1,8,1,16,,,,,1,1,0,1,8,0,1,12,0,1,2,0,,,,,,,280.52090324
17856,1,4,2,,,,1,24,,,,,,,,,,,,,1,18,0,,,,,,,,,,254.65276403
17858,1,3,1,4,2,,,,1,9,,,,,1,2,0,1,3,0,1,9,0,1,2,0,,,,,,,588.65739557
17859,1,4,2,,,,1,24,,,,,,,,,,,,,1,13,0,,,,,,,,,,217.78163956
17865,1,3,2,,,,1,24,,,,,,,1,0,15,1,5,0,1,10,0,1,1,0,,,,,,,469.87999653
17867,1,5,2,,,,1,24,,,,,,,,,,1,2,0,1,10,0,,,,,,,,,,315.83481922
17876,1,2,1,4,2,,1,24,,,,,,,1,1,0,1,2,30,1,9,0,1,2,30,,,,,,,174.53439842
17876,1,3,2,,,,1,24,,,,,,,1,0,30,1,5,0,1,10,0,1,1,0,,,,,,,174.53439842
17891,1,4,1,4,2,,1,24,,,,,,,1,3,0,,,,1,8,0,,,,,,,,,,447.98130503
17898,1,3,2,,,,1,24,,,,,,,1,1,0,,,,,,,,,,,,,,,,137.37296207
17917,3,4,1,2,1,4,1,24,,,,,,,1,6,0,1,5,0,1,10,0,1,0,30,,,,,,,537.05693207
17917,3,5,1,2,1,4,1,24,,,,,,,1,5,0,1,6,0,1,11,0,1,0,30,,,,,,,537.05693207
17923,1,3,2,,,,1,24,,,,,,,1,1,0,1,4,0,1,9,0,1,1,0,,,,,,,174.91286289
17931,1,5,1,5,1,4,1,20,,,,,,,1,2,0,1,5,0,1,12,0,1,0,30,1,1,0,,,,415.3598066
17936,1,4,2,,,,1,20,,,,,,,1,1,0,1,4,0,1,10,0,,,,,,,,,,474.53846447
17974,1,4,1,5,2,,1,24,,,,,,,1,4,0,1,3,0,1,10,0,,,,1,3,0,,,,59.515814617
17984,1,4,2,,,,1,24,,,,,,,,,,1,1,0,1,14,0,,,,,,,,,,436.39544813
17990,1,3,2,,,,1,24,,,,,,,1,5,0,1,2,0,1,10,0,,,,,,,,,,407.04661947
17991,1,3,1,2,2,,1,24,,,,,,,,,,1,0,35,1,1,0,1,0,45,,,,,,,264.85593651
17999,1,7,2,,,,1,24,,,,,,,1,5,0,1,6,0,1,12,58,,,,,,,,,,110.01755314
18002,1,5,2,,,,1,24,,,,,,,1,5,0,1,3,0,1,10,0,1,2,0,1,4,0,,,,10.942242301
18003,1,4,2,,,,1,24,,,,,,,,,,1,2,0,1,15,0,,,,,,,,,,514.98693987
18004,1,3,1,4,2,,1,24,,,,,,,1,3,0,1,5,0,1,10,0,1,2,0,1,1,0,1,1,0,120.50105899
18006,1,4,2,,,,1,24,,,,,,,1,5,58,1,6,0,1,12,0,,,,,,,,,,88.747055867
18006,1,5,2,,,,1,24,,,,,,,,,,1,9,58,1,14,0,,,,,,,,,,88.747055867
18008,1,5,2,,,,1,24,,,,,,,1,5,0,1,3,0,1,10,0,1,0,30,,,,,,,307.07096165
18010,1,3,1,5,1,3,1,24,,,,,,,,,,1,0,40,1,1,0,1,0,45,,,,,,,235.59551034
18022,1,7,2,,,,1,24,,,,,,,1,2,0,1,5,0,1,8,0,,,,,,,,,,405.19731947
18030,1,3,2,,,,1,24,,,,,,,1,3,0,1,4,0,1,8,0,,,,,,,,,,314.05846218
18048,1,3,2,,,,1,24,,,,,,,1,2,0,1,3,0,1,10,0,,,,,,,,,,446.91032743
18056,1,6,2,,,,1,24,,,,,,,,,,1,3,0,1,2,0,,,,,,,,,,185.05276795
18061,1,3,2,,,,1,24,,,,,,,,,,1,1,0,1,13,30,,,,,,,,,,195.23178623
18066,1,3,2,,,,1,24,,,,,,,,,,1,4,0,1,13,30,,,,,,,,,,821.15459857
18067,1,3,2,,,,1,24,,,,,,,1,3,30,1,2,30,1,7,0,,,,,,,,,,197.12475241
18072,1,5,1,2,2,,1,24,,,,,,,1,7,0,1,7,0,1,10,0,,,,,,,,,,70.358314203
18083,1,4,2,,,,1,24,,,,,,,,,,,,,1,12,0,,,,,,,,,,450.0707585
18107,1,3,2,,,,1,24,,,,,,,1,2,0,1,2,0,1,9,0,,,,,,,,,,272.13330008
18107,1,4,2,,,,1,24,,,,,,,1,2,0,1,2,0,1,8,0,,,,,,,,,,272.13330008
18107,1,8,2,,,,1,24,,,,,,,1,3,0,1,2,0,1,10,0,,,,,,,,,,272.13330008
18127,1,2,1,3,2,,1,22,,,,,1,2,1,3,0,1,5,0,1,12,0,1,1,0,,,,,,,597.56596307
18142,1,5,2,,,,1,24,,,,,,,1,4,0,1,6,0,1,11,30,,,,,,,,,,825.30961517
18155,1,3,2,,,,1,22,,,,,,,,,,1,0,30,1,9,0,,,,,,,,,,627.67662667
18157,1,3,2,,,,1,24,,,,,,,1,3,0,1,4,0,1,12,0,,,,,,,,,,544.25226103
18196,1,3,2,,,,1,24,,,,,,,,,,1,7,0,1,10,0,1,7,0,,,,,,,144.03990449
18196,1,4,2,,,,1,24,,,,,,,,,,1,12,0,1,12,0,,,,,,,,,,144.03990449
18197,1,4,2,,,,1,20,1,4,,,,,,,,,,,1,15,0,,,,,,,,,,275.55236758
18204,1,3,2,,,,1,24,,,,,,,,,,1,2,0,1,5,0,,,,,,,,,,354.84727623
18204,2,3,1,1,2,,1,24,,,,,,,1,1,0,1,3,0,1,8,0,,,,,,,,,,354.84727623
18224,1,3,2,,,,1,24,,,,,,,1,4,0,1,6,0,1,8,0,,,,,,,,,,126.89320643
18230,1,5,2,,,,1,21,,,1,3,,,1,1,0,,,,1,8,0,,,,,,,,,,242.23959358
18250,1,4,2,,,,1,24,,,,,,,,,,1,0,30,,,,,,,,,,,,,491.2285624
18251,1,5,2,,,,1,24,,,,,,,,,,1,4,0,1,9,0,,,,,,,,,,422.69937417
18256,1,5,2,,,,1,24,,,,,,,1,4,0,1,3,0,1,10,0,,,,,,,,,,853.21380223
18257,1,9,2,,,,1,24,,,,,,,1,2,30,1,2,30,1,12,0,,,,,,,,,,471.96806393
18261,1,4,2,,,,1,24,,,,,,,1,2,0,1,3,0,1,10,0,,,,,,,,,,277.05000093
18263,1,5,1,2,2,,1,24,,,,,,,1,6,0,1,5,0,1,10,0,1,0,45,,,,,,,457.50455183
18273,1,4,2,,,,1,24,,,,,,,1,5,0,1,8,0,1,11,0,,,,,,,,,,265.0001829
18288,1,4,1,3,2,,1,24,,,,,,,1,1,0,1,11,0,1,12,0,,,,,,,,,,115.879554
18294,1,5,2,,,,1,24,,,,,,,1,5,0,1,3,0,1,8,0,1,2,0,,,,,,,157.33944511
18300,1,3,1,1,2,,1,12,1,12,,,,,1,4,0,1,4,0,1,10,0,,,,1,2,0,,,,343.9677304
18300,1,4,2,,,,1,24,,,,,,,,,,1,12,0,1,10,0,1,3,0,,,,,,,343.9677304
18326,1,5,1,2,2,,1,24,,,,,,,1,1,0,1,6,0,1,10,0,1,1,0,,,,,,,220.47326456
18333,1,4,2,,,,1,24,,,,,,,,,,1,12,0,1,10,0,,,,,,,,,,360.6350108
18337,1,3,1,1,2,,1,24,,,,,,,1,3,0,1,2,0,1,10,0,,,,,,,,,,761.1483916
18338,1,4,2,,,,1,24,,,,,,,,,,1,5,0,1,10,0,,,,,,,,,,375.7339103
18350,1,5,2,,,,,,1,24,,,,,1,2,0,1,2,0,1,7,0,,,,,,,,,,241.69759602
18384,1,3,1,5,1,3,1,24,,,,,,,1,3,0,1,4,0,1,9,0,1,2,0,1,1,0,,,,177.04092949
18385,1,7,2,,,,1,24,,,,,,,1,5,0,1,8,0,1,9,0,1,2,0,,,,,,,747.16785813
18385,1,8,2,,,,1,24,,,,,,,1,5,0,1,7,0,1,10,0,1,2,0,,,,,,,747.16785813
18401,1,3,2,,,,1,24,,,,,,,1,3,0,1,4,1,,,,,,,,,,,,,235.81389172
18404,1,4,2,,,,1,24,,,,,,,1,2,0,1,4,0,1,10,0,,,,,,,,,,289.03460856
18411,2,4,2,,,,1,24,,,,,,,,,,,,,1,3,0,,,,,,,,,,379.82654307
18416,1,4,2,,,,1,24,,,,,,,1,3,0,1,8,0,1,8,0,1,3,0,,,,,,,280.00933546
18417,1,2,1,2,1,8,1,12,,,,,,,1,1,0,1,2,0,,,,1,2,0,,,,,,,391.3694396
18432,1,3,2,,,,1,24,,,,,,,1,2,0,1,8,0,1,3,0,,,,,,,,,,469.3901672
18432,2,3,2,,,,1,24,,,,,,,,,,1,3,0,1,8,0,,,,,,,,,,469.3901672
18436,1,3,1,5,1,3,1,24,,,,,,,1,2,0,1,6,0,1,10,0,1,2,0,1,1,0,,,,221.93859678
18436,1,4,2,,,,1,24,,,,,,,1,1,0,1,2,0,1,15,0,,,,,,,,,,221.93859678
18440,1,3,2,,,,1,24,,,,,,,,,,1,3,0,1,10,0,,,,,,,,,,432.51486713
18459,1,3,2,,,,1,24,,,,,,,,,,,,,1,12,0,,,,,,,,,,376.42013957
18468,1,4,1,5,2,,1,20,,,,,1,4,1,5,0,1,2,0,1,12,0,,,,,,,,,,369.79104283
18473,1,4,2,,,,1,24,,,,,,,1,4,0,1,3,0,1,11,30,,,,,,,,,,421.44574187
18507,1,3,2,,,,1,24,,,,,,,,,,1,5,0,1,13,0,,,,,,,,,,393.55437893
18528,1,5,2,,,,1,24,,,,,,,1,4,30,1,6,0,1,11,30,,,,,,,,,,367.014012
18535,1,4,2,,,,1,24,,,,,,,,,,,,,1,12,0,,,,,,,,,,264.77528019
18551,1,2,2,,,,1,24,,,,,,,,,,,,,1,12,0,,,,,,,,,,327.53725611
18554,1,6,2,,,,1,24,,,,,,,,,,,,,1,10,0,,,,,,,,,,165.66347124
18557,1,6,1,1,2,,1,24,,,,,,,,,,1,2,0,,,,1,1,0,,,,,,,308.35049741
18559,1,4,2,,,,1,12,1,12,,,,,,,,1,2,0,1,10,0,1,1,0,,,,1,2,0,1053.1008547
18583,1,5,2,,,,1,24,,,,,,,1,5,0,1,5,0,1,14,0,,,,,,,,,,885.99765183
18587,1,5,2,,,,1,24,,,,,,,1,5,0,1,5,0,1,10,0,,,,1,3,0,1,1,0,8.4855941193
18588,1,5,2,,,,1,24,,,,,,,,,,,,,1,12,0,,,,,,,,,,416.5494221
18591,1,5,2,,,,1,24,,,,,,,1,4,0,1,2,0,1,9,0,,,,,,,,,,312.91416587
18603,1,5,1,2,2,,1,24,,,,,,,1,2,0,1,3,0,1,10,30,1,2,0,,,,,,,800.2726725
18630,1,5,2,,,,1,24,,,,,,,,,,1,4,0,1,12,0,,,,,,,,,,430.50952063
18635,1,4,2,,,,1,24,,,,,,,1,3,0,1,6,0,1,12,0,,,,,,,,,,158.27745848
18637,1,3,2,,,,1,24,,,,,,,,,,,,,,,,1,2,0,,,,,,,1079.9300959
18655,1,3,2,,,,1,24,,,,,,,1,2,0,1,12,0,,,,,,,,,,,,,213.82080413
18658,1,4,2,,,,1,24,,,,,,,1,5,0,1,5,0,1,10,0,1,4,0,,,,,,,242.79185183
18671,1,5,2,,,,1,24,,,,,,,1,1,0,1,2,0,1,12,0,,,,,,,,,,336.0726689
18673,1,3,2,,,,1,12,1,12,,,,,1,4,0,,,,,,,,,,1,1,0,,,,306.71868735
18683,1,3,1,1,2,,1,24,,,,,,,1,3,0,1,5,0,1,11,0,,,,,,,,,,131.39875067
18696,1,3,2,,,,1,24,,,,,,,,,,1,10,0,1,14,0,,,,,,,,,,129.77910966
18697,1,5,2,,,,1,24,,,,,,,,,,,,,1,12,0,,,,,,,,,,347.72417013
18700,1,3,2,,,,1,20,1,4,,,,,,,,1,5,0,1,12,0,,,,,,,,,,511.0613477
18701,1,5,1,1,2,,1,18,1,6,,,,,1,2,0,1,2,0,1,8,0,1,1,0,,,,,,,233.45695113
18701,1,6,1,1,2,,1,18,1,6,,,,,1,1,0,1,5,0,1,9,0,1,1,0,,,,,,,233.45695113
18707,1,3,2,,,,,,1,12,,,,,1,1,0,1,8,0,,,,,,,,,,,,,393.55437893
18708,1,3,2,,,,1,24,,,,,,,1,1,0,1,3,0,1,9,0,1,1,30,1,1,0,,,,171.89291962
18712,1,3,2,,,,1,24,,,,,,,1,2,0,1,3,0,1,2,0,,,,,,,,,,288.14863319
18720,1,5,2,,,,1,24,,,,,,,1,4,0,1,6,0,1,10,0,,,,,,,,,,315.83481922
18746,1,5,1,3,2,,1,24,,,,,,,1,6,0,1,5,0,1,10,0,1,3,0,,,,,,,20.483897042
18756,1,5,2,,,,1,24,,,,,,,1,1,8,1,3,0,1,8,0,,,,,,,,,,343.58841577
18759,1,2,2,,,,1,24,,,,,,,1,4,0,1,2,0,1,7,0,,,,,,,,,,123.55053769
18760,1,3,1,2,2,,1,24,,,,,,,1,6,0,1,8,0,1,10,0,,,,,,,,,,94.43673944
18776,1,2,1,2,2,,1,24,,,,,,,1,5,0,1,7,0,1,11,58,,,,,,,,,,55.061439413
18805,1,4,2,,,,1,24,,,,,,,1,2,0,1,3,0,1,9,0,,,,,,,,,,314.90207242
18805,1,5,2,,,,1,24,,,,,,,1,1,0,1,2,0,1,8,0,,,,,,,,,,314.90207242
18816,1,4,2,,,,1,24,,,,,,,1,3,0,1,1,0,1,8,0,,,,,,,,,,323.32722989
18826,1,3,2,,,,1,24,,,,,,,1,2,0,1,3,0,1,12,0,,,,,,,,,,286.11691068
18843,1,4,2,,,,1,10,,,,,,,1,1,0,1,4,0,1,11,0,1,1,0,1,1,30,,,,330.66369204
18862,1,3,2,,,,1,24,,,,,,,1,3,0,1,1,30,1,10,0,,,,,,,,,,331.11583345
18881,1,4,2,,,,1,24,,,,,,,1,2,0,1,0,30,1,10,0,,,,,,,1,0,30,148.47224312
18915,1,4,2,,,,1,24,,,,,,,1,2,0,1,1,0,1,8,0,1,0,30,,,,,,,286.63145356
18931,1,2,2,,,,1,24,,,,,,,1,3,0,1,5,0,1,8,0,1,2,0,,,,,,,191.58742688
18945,1,3,1,5,1,10,1,14,,,,,,,1,1,0,1,2,0,1,10,0,1,1,0,,,,,,,455.76425553
18952,1,4,2,,,,1,24,,,,,,,,,,1,4,0,1,12,0,,,,,,,,,,433.4211926
18963,1,7,2,,,,,,1,5,,,,,1,2,0,1,2,0,1,13,0,,,,,,,,,,176.21176152
18970,1,4,2,,,,1,24,,,,,,,1,2,0,,,,,,,,,,,,,,,,385.5994298
18976,1,7,2,,,,1,24,,,,,,,1,2,0,1,5,0,1,2,0,,,,,,,,,,443.96975077
18977,1,4,2,,,,1,24,,,,,,,1,6,0,1,6,0,1,10,0,,,,,,,,,,354.46457893
18991,1,3,2,,,,1,24,,,,,,,,,,,,,1,6,0,,,,,,,,,,359.66677707
19004,1,4,2,,,,1,24,,,,,,,1,4,0,1,6,0,1,12,0,1,2,0,,,,,,,208.64952096
19020,1,4,2,,,,1,24,,,,,,,1,1,0,1,4,0,1,10,0,,,,,,,,,,309.0590896
19024,1,5,2,,,,1,24,,,,,,,1,1,0,1,3,0,1,10,0,1,0,20,1,1,0,,,,509.03397227
19024,1,6,2,,,,1,24,,,,,,,1,3,0,1,3,0,1,11,0,,,,1,1,0,,,,509.03397227
19034,1,7,1,3,2,,1,24,,,,,,,1,4,0,1,8,0,1,10,0,1,2,0,,,,,,,94.174383453
19034,1,8,1,3,2,,1,24,,,,,,,1,4,0,1,8,0,1,10,0,1,2,0,,,,,,,94.174383453
19034,1,9,1,3,2,,1,24,,,,,,,1,4,0,1,10,0,1,10,0,,,,,,,,,,94.174383453
19046,1,3,2,,,,1,15,1,9,,,,,,,,1,4,0,1,8,0,,,,1,2,0,,,,245.45626271
19048,1,3,2,,,,1,24,,,,,,,1,2,0,1,4,0,1,12,30,,,,1,2,30,,,,382.067617
19051,1,3,2,,,,1,24,,,,,,,1,3,0,1,8,0,1,12,0,1,3,0,,,,,,,490.0659028
19051,1,4,2,,,,1,24,,,,,,,,,,1,5,0,1,13,0,,,,,,,,,,490.0659028
19057,1,3,2,,,,1,24,,,,,,,,,,,,,,,,1,4,0,,,,,,,269.7500828
19089,1,3,1,1,2,,1,24,,,,,,,1,2,0,1,5,0,1,9,0,,,,,,,,,,297.67165804
19089,1,4,2,,,,1,24,,,,,,,1,1,0,1,3,0,1,10,0,,,,,,,,,,297.67165804
19093,1,4,1,5,2,,1,18,1,6,,,,,1,1,0,1,5,0,1,8,0,1,0,30,1,0,40,,,,348.68470507
19100,1,4,1,4,2,,1,24,,,,,,,1,1,30,1,3,0,1,9,0,,,,1,1,0,,,,61.638051983
19109,1,6,2,,,,1,24,,,,,,,,,,,,,1,12,0,,,,,,,,,,393.55132447
19113,1,3,2,,,,1,24,,,,,,,1,1,30,1,6,30,1,12,0,,,,,,,,,,711.7445617
19116,1,4,2,,,,1,24,,,,,,,1,2,0,,,,1,12,0,1,3,0,,,,,,,435.49496657
19116,1,5,2,,,,1,24,,,,,,,1,2,0,1,2,0,1,13,0,,,,,,,,,,435.49496657
19130,1,3,2,,,,1,20,,,,,,,,,,1,3,0,,,,,,,,,,,,,229.70080739
19133,1,4,2,,,,1,24,,,,,,,,,,1,8,0,1,16,0,,,,,,,,,,199.39872754
19147,1,4,2,,,,1,24,,,,,,,1,2,0,1,5,0,1,10,0,1,3,0,1,1,0,,,,170.77067193
19158,1,5,1,1,2,,1,24,,,,,,,1,2,0,1,3,0,1,10,0,,,,,,,,,,320.71926581
19158,1,6,2,,,,1,24,,,,,,,,,,1,4,0,1,12,0,,,,,,,,,,320.71926581
19158,1,7,2,,,,1,24,,,,,,,,,,1,3,0,1,12,0,,,,,,,,,,320.71926581
19159,1,4,2,,,,1,10,1,11,1,3,,,1,2,0,1,8,0,1,9,0,1,0,30,1,0,30,,,,287.64684805
19160,2,2,2,,,,1,24,,,,,,,1,1,0,1,4,0,,,,,,,,,,,,,202.99240817
19160,2,3,2,,,,1,24,,,,,,,,,,,,,1,10,0,,,,,,,,,,202.99240817
19191,1,6,2,,,,1,24,,,,,,,1,0,5,1,2,0,,,,,,,,,,,,,166.43455454
19193,1,4,2,,,,1,24,,,,,,,,,,1,5,0,1,14,0,,,,,,,,,,151.35679478
19195,1,3,2,,,,1,24,,,,,,,1,1,0,1,2,0,1,3,0,1,2,0,,,,,,,229.27461737
19198,1,6,2,,,,1,24,,,,,,,1,3,20,1,6,50,1,10,10,1,3,40,,,,,,,211.89445269
19198,1,7,2,,,,1,24,,,,,,,,,,1,5,30,1,18,30,,,,,,,,,,211.89445269
19209,1,4,2,,,,1,24,,,,,,,1,1,0,1,1,30,1,12,0,,,,,,,,,,309.0590896
19210,1,3,2,,,,1,12,1,12,,,,,1,3,58,1,7,0,1,13,0,,,,,,,,,,55.173496247
19223,1,3,2,,,,1,24,,,,,,,,,,1,6,0,1,12,30,1,2,0,,,,,,,433.10251383
19239,1,3,2,,,,1,24,,,,,,,1,2,0,1,2,0,1,9,0,,,,,,,,,,385.4112014
19239,1,4,2,,,,1,24,,,,,,,1,2,0,1,2,0,1,10,0,,,,,,,,,,385.4112014
19247,1,6,2,,,,1,24,,,,,,,,,,1,12,0,1,12,0,,,,,,,,,,204.86386915
19248,1,8,2,,,,1,24,,,,,,,,,,1,5,0,1,11,0,,,,,,,,,,154.59846318
19248,2,5,1,3,2,,1,24,,,,,,,,,,1,5,0,1,10,0,,,,,,,1,2,0,154.59846318
19248,2,6,2,,,,1,24,,,,,,,,,,1,1,0,1,11,0,,,,,,,,,,154.59846318
19266,1,3,2,,,,1,12,,,,,,,1,2,0,1,6,0,1,13,0,1,1,0,,,,,,,492.92200437
19273,1,5,1,3,1,2,1,24,,,,,,,1,2,0,,,,,,,,,,,,,,,,384.27108393
19275,1,4,2,,,,1,21,,,,,1,3,1,2,0,1,6,0,1,10,0,1,2,0,,,,,,,221.66443064
19276,1,4,1,1,2,,1,24,,,,,,,1,4,0,,,,1,8,0,,,,,,,,,,307.46257651
19278,1,3,2,,,,1,19,1,5,,,,,1,1,0,,,,1,13,0,,,,,,,,,,437.5051485
19286,1,3,1,5,2,,1,22,,,,,,,1,5,0,1,5,0,1,10,0,,,,1,4,0,,,,83.922113867
19286,1,4,1,5,2,,1,22,,,,,,,1,4,0,1,7,0,1,10,0,1,2,0,1,1,0,,,,83.922113867
19294,1,4,1,5,2,,1,12,,,,,,,1,2,0,1,6,0,1,10,0,,,,,,,,,,294.42350667
19296,1,3,1,2,2,,1,24,,,,,,,1,4,0,1,6,0,1,10,0,1,4,0,,,,,,,158.29136223
19299,1,3,1,1,1,2,1,24,,,,,,,1,2,0,1,6,0,1,8,0,,,,,,,,,,279.32510592
19299,1,4,2,,,,1,24,,,,,,,,,,1,12,0,1,10,0,,,,,,,,,,279.32510592
19330,1,3,2,,,,1,24,,,,,,,1,4,0,1,5,0,1,9,0,1,2,0,1,2,0,1,2,0,61.902116353
19331,1,4,1,5,2,,1,24,,,,,,,1,2,0,1,6,0,1,11,0,1,2,0,1,3,0,,,,197.90055082
19332,1,5,2,,,,1,24,,,,,,,1,3,0,1,5,0,1,10,0,,,,,,,,,,328.10233757
19338,1,4,2,,,,1,24,,,,,,,1,4,0,1,4,0,1,10,0,1,2,0,1,2,0,1,2,0,55.346773817
19340,1,8,2,,,,1,16,1,8,,,,,1,3,0,1,4,0,1,12,30,1,2,0,,,,,,,633.55004947
19344,1,7,2,,,,1,24,,,,,,,,,,1,8,0,1,16,0,,,,,,,,,,12.150353026
19350,1,3,2,,,,1,24,,,,,,,1,5,0,1,4,0,1,12,0,1,3,0,,,,,,,193.04774666
19360,1,3,2,,,,1,24,,,,,,,1,6,0,1,6,0,1,12,0,,,,,,,,,,13.649306439
19371,1,3,2,,,,1,24,,,,,,,1,2,0,1,3,0,1,10,0,,,,,,,,,,197.8027652
19373,1,5,2,,,,1,19,1,5,,,,,1,4,0,1,6,0,1,12,0,,,,,,,,,,517.2994953
19376,1,3,2,,,,1,24,,,,,,,,,,,,,1,14,0,,,,,,,,,,382.9391447
19385,1,5,1,2,2,,1,24,,,,,,,1,4,0,1,8,0,1,10,0,1,2,0,,,,,,,134.51886653
19392,1,3,2,,,,1,24,,,,,,,1,5,0,1,3,0,1,10,0,1,1,0,,,,,,,169.18242303
19402,1,7,2,,,,1,24,,,,,,,1,4,0,1,7,0,1,11,0,1,1,0,1,1,30,,,,202.57714301
19411,1,5,2,,,,1,24,,,,,,,1,1,0,1,9,0,1,10,0,1,1,0,,,,,,,228.05453552
19424,1,4,2,,,,1,24,,,,,,,,,,,,,1,14,0,,,,,,,,,,221.25721044
19433,1,4,2,,,,1,24,,,,,,,1,6,0,1,6,0,1,12,0,,,,,,,,,,14.271547632
19434,1,3,2,,,,1,24,,,,,,,,,,1,5,0,1,10,0,,,,1,2,0,,,,366.34609703
19436,1,3,2,,,,1,24,,,,,,,1,3,0,1,3,0,1,10,0,1,2,0,1,2,0,1,4,0,17.15988266
19436,1,4,2,,,,1,24,,,,,,,1,6,0,1,6,0,1,12,0,,,,,,,,,,17.15988266
19445,1,5,2,,,,1,24,,,,,,,,,,1,5,0,1,19,0,,,,,,,,,,98.61058677
19447,1,5,1,2,2,,1,21,,,,,1,3,,,,1,5,0,1,8,0,,,,1,2,0,,,,424.31991493
19449,1,4,1,1,2,,1,24,,,,,,,1,2,0,1,3,0,1,10,0,1,2,0,,,,,,,248.90844246
19464,1,3,1,1,2,,1,24,,,,,,,1,1,0,1,4,0,1,8,0,1,1,0,,,,,,,409.30078897
19487,1,3,2,,,,1,24,,,,,,,,,,,,,1,13,0,,,,,,,,,,58.816707487
19502,1,3,2,,,,1,24,,,,,,,,,,,,,1,10,0,,,,,,,,,,243.30290627
19511,1,4,2,,,,1,24,,,,,,,1,1,0,1,5,0,1,10,0,,,,,,,,,,475.1915785
19517,1,4,2,,,,1,24,,,,,,,1,2,0,1,2,0,1,2,20,,,,1,1,10,,,,183.3188345
19523,1,2,2,,,,1,24,,,,,,,1,5,0,1,3,0,1,10,0,1,3,0,1,3,0,,,,17.904538257
19524,1,6,2,,,,1,24,,,,,,,1,0,30,1,5,0,1,10,0,,,,,,,,,,248.36817812
19531,1,3,2,,,,1,24,,,,,,,1,2,0,1,8,0,1,12,0,1,1,30,,,,,,,400.50237333
19539,1,8,2,,,,1,24,,,,,,,1,4,0,1,6,0,1,12,0,1,2,0,,,,,,,195.74797196
19548,1,6,1,2,2,,1,24,,,,,,,1,2,0,1,4,0,1,8,0,,,,,,,,,,141.35474291
19548,1,7,2,,,,1,24,,,,,,,,,,,,,1,10,0,,,,,,,,,,141.35474291
19563,1,5,2,,,,1,24,,,,,,,1,1,0,1,6,0,1,9,0,,,,1,1,0,,,,204.86179448
19567,1,5,2,,,,1,24,,,,,,,,,,1,2,0,,,,,,,,,,,,,366.59023273
19578,1,6,2,,,,1,24,,,,,,,1,6,0,1,12,30,1,4,0,,,,,,,,,,420.8449491
19586,1,6,2,,,,1,24,,,,,,,,,,1,4,0,1,10,0,,,,,,,,,,201.22603729
19596,1,5,1,1,2,,1,24,,,,,,,1,3,0,1,10,0,1,10,0,1,1,0,,,,,,,186.24452892
19596,1,6,1,1,2,,1,24,,,,,,,1,5,0,1,12,0,1,10,0,,,,,,,,,,186.24452892
19607,1,7,2,,,,1,24,,,,,,,1,1,0,1,4,0,1,12,0,,,,,,,,,,272.84778598
19625,1,4,1,4,2,,1,24,,,,,,,1,2,0,1,5,0,1,11,0,1,1,0,1,2,0,,,,311.63322036
19626,1,3,2,,,,1,24,,,,,,,1,3,0,1,2,0,1,9,0,1,1,0,,,,,,,364.21578447
19633,1,5,2,,,,1,24,,,,,,,,,,1,3,0,,,,1,2,0,,,,,,,358.33747493
19638,1,3,2,,,,1,24,,,,,,,1,1,0,1,7,0,1,10,0,1,0,20,1,1,0,,,,134.31074689
19639,1,4,1,1,2,,1,24,,,,,,,1,4,0,1,3,0,1,10,0,1,1,0,,,,,,,127.21113342
19641,1,4,2,,,,1,24,,,,,,,1,1,0,1,2,0,1,8,0,1,0,20,,,,,,,415.0204577
19655,1,4,2,,,,1,24,,,,,,,,,,,,,1,15,0,,,,,,,,,,98.726450547
19658,1,5,2,,,,1,24,,,,,,,1,3,0,1,10,0,1,11,0,,,,,,,,,,101.41476282
19661,1,6,2,,,,1,24,,,,,,,,,,1,10,0,1,10,0,1,4,0,,,,,,,389.8285224
19664,1,4,1,1,2,,1,24,,,,,,,1,8,0,1,6,0,1,10,0,,,,,,,,,,251.80527933
19665,1,4,2,,,,1,24,,,,,,,,,,1,8,0,1,12,0,,,,,,,,,,225.8485438
19665,1,6,2,,,,1,24,,,,,,,,,,1,6,0,1,15,30,,,,,,,,,,225.8485438
19683,1,5,2,,,,1,18,,,,,1,6,,,,1,2,0,1,12,30,,,,,,,,,,324.10530819
