DIRECTORIO,SECUENCIA_P,ORDEN,P1165,P1164,P1178,P1178S1,P1163_1,P1163S1,P1163_2,P1163S2,P1163_3,P1163S3,P1163_4,P1163S4,P1162S1,P1162S1A1,P1162S1A2,P1162S2,P1162S2A1,P1162S2A2,P1162S3,P1162S3A1,P1162S3A2,P1162S4,P1162S4A1,P1162S4A2,P1162S5,P1162S5A1,P1162S5A2,P1162S6,P1162S6A1,P1162S6A2,F_EXP
1587,1,6,2,,,,1,24,,,,,,,,,,1,9,0,1,14,0,,,,,,,,,,251.37832922
1589,1,3,2,,,,1,24,,,,,,,,,,1,6,0,1,10,0,1,2,0,,,,,,,241.68196757
1600,1,6,2,,,,1,24,,,,,,,,,,1,14,0,1,9,0,,,,,,,,,,241.42001246
1607,1,5,2,,,,1,24,,,,,,,,,,,,,1,8,0,,,,,,,,,,322.79024143
1616,1,3,2,,,,1,24,,,,,,,1,5,0,1,7,0,1,11,0,,,,,,,,,,407.24831913
1624,1,3,2,,,,1,23,,,,,,,1,2,0,1,6,0,1,13,0,1,1,0,1,1,0,,,,205.51797176
1628,1,2,2,,,,1,24,,,,,,,1,1,30,1,5,30,1,12,0,1,5,0,,,,,,,124.84885653
1628,1,3,2,,,,1,24,,,,,,,1,2,0,1,5,0,1,12,0,1,5,0,,,,,,,124.84885653
1632,1,4,2,,,,1,24,,,,,,,1,8,0,1,6,0,1,8,0,1,2,0,,,,,,,174.20429606
1636,1,3,2,,,,1,12,1,12,,,,,,,,1,6,0,1,12,0,,,,,,,,,,407.24831913
1648,1,8,1,1,2,,1,24,,,,,,,1,2,0,1,4,0,1,9,0,,,,,,,,,,417.6744291
1673,1,3,2,,,,1,24,,,,,,,,,,,,,1,10,0,,,,,,,,,,361.6287018
1680,1,3,2,,,,1,24,,,,,,,1,1,0,1,6,0,1,12,0,,,,,,,,,,371.96578927
1688,1,4,2,,,,1,24,,,,,,,1,7,0,1,4,0,1,11,0,,,,,,,,,,494.623072
1711,1,4,1,4,2,,1,20,,,,,,,1,2,0,1,4,0,1,13,0,,,,,,,,,,340.7585395
1720,1,5,2,,,,1,24,,,,,,,1,5,0,1,10,0,1,10,0,,,,,,,,,,153.31910251
1749,1,3,2,,,,1,24,,,,,,,1,2,0,1,1,30,1,13,30,,,,,,,,,,727.0561955
1752,1,3,1,3,2,,1,24,,,,,,,1,2,0,1,12,0,1,8,0,1,1,0,,,,,,,398.53199127
1752,1,4,1,3,2,,1,24,,,,,,,1,2,0,1,1,0,1,8,0,1,1,0,,,,,,,398.53199127
1773,1,4,2,,,,1,24,,,,,,,1,1,0,1,8,0,1,12,0,1,2,0,,,,,,,243.91367718
1803,1,3,1,5,2,,1,24,,,,,,,1,2,0,1,2,0,1,2,0,,,,,,,,,,344.83741973
1814,1,3,2,,,,1,16,,,,,1,8,1,4,0,1,3,30,1,8,30,,,,,,,,,,57.715645603
1849,1,3,1,1,1,8,1,24,,,,,,,1,3,0,1,2,0,1,10,0,1,2,0,,,,,,,206.56261346
1849,1,4,2,,,,1,24,,,,,,,,,,,,,1,24,0,,,,,,,,,,206.56261346
1859,1,3,2,,,,1,24,,,,,,,,,,1,10,0,1,1,0,,,,,,,,,,502.8304522
1861,1,5,2,,,,1,24,,,,,,,1,0,5,1,5,0,1,12,30,,,,,,,,,,139.67129574
1874,1,3,2,,,,1,23,,,,,,,,,,,,,1,10,0,,,,,,,,,,17.050853919
1903,1,3,1,3,1,5,1,24,,,,,,,1,5,0,1,5,0,1,9,0,,,,,,,,,,93.22993295
1906,1,7,1,1,2,,1,24,,,,,,,,,,1,2,0,1,10,0,,,,,,,,,,370.25334287
1979,1,4,2,,,,1,24,,,,,,,1,2,0,1,6,0,1,10,0,1,2,0,,,,,,,181.29136196
1989,1,3,2,,,,1,24,,,,,,,1,0,30,1,5,0,1,12,0,1,0,15,,,,,,,344.121443
2009,1,4,2,,,,1,24,,,,,,,1,2,0,1,3,0,1,9,0,,,,,,,,,,629.64935977
2032,1,4,1,4,2,,1,24,,,,,,,1,2,0,,,,1,10,0,,,,,,,,,,686.44765773
2054,1,3,2,,,,1,24,,,,,,,1,2,0,1,3,0,,,,,,,,,,,,,850.79773833
2054,1,4,2,,,,1,24,,,,,,,,,,1,3,0,1,10,0,,,,,,,,,,850.79773833
2059,1,3,2,,,,1,24,,,,,,,,,,1,1,0,1,14,0,,,,,,,,,,554.53486163
2065,1,4,2,,,,1,24,,,,,,,1,2,0,1,4,0,1,8,0,,,,,,,,,,222.8038067
2070,1,3,2,,,,1,24,,,,,,,,,,,,,1,18,0,,,,,,,,,,82.61596749
2076,1,4,2,,,,1,24,,,,,,,1,3,0,1,10,0,1,10,0,1,1,0,,,,,,,83.19691731
2091,1,2,2,,,,1,22,,,,,1,2,1,2,0,1,6,0,1,11,0,1,2,50,,,,,,,96.739574153
2127,1,4,1,3,2,,1,24,,,,,,,,,,,,,1,15,0,,,,,,,,,,117.34630058
2135,1,4,2,,,,1,24,,,,,,,,,,1,11,0,1,13,0,,,,,,,,,,293.50223696
2151,1,3,2,,,,1,14,,,,,,,1,0,30,,,,1,10,30,,,,,,,,,,552.5468901
2153,1,5,1,1,2,,1,24,,,,,,,1,3,0,1,2,0,1,9,0,,,,,,,,,,428.71258123
2155,1,4,2,,,,1,24,,,,,,,1,3,0,1,4,0,1,6,0,,,,,,,,,,44.557489657
2171,1,3,2,,,,1,24,,,,,,,1,6,0,1,6,0,1,12,0,,,,,,,,,,82.07572993
2172,1,4,1,1,2,,1,24,,,,,,,,,,1,4,0,1,9,0,,,,,,,,,,352.9342971
2172,1,7,1,1,2,,1,24,,,,,,,,,,1,4,0,1,10,0,,,,,,,,,,352.9342971
2188,1,3,2,,,,1,21,1,3,,,,,1,2,0,1,4,0,1,10,0,,,,,,,,,,762.50069643
2242,1,4,1,2,2,,1,24,,,,,,,1,0,30,1,2,0,1,10,0,,,,,,,,,,228.13595445
2250,1,5,2,,,,1,24,,,,,,,1,6,0,1,3,0,1,12,0,1,2,0,,,,1,1,0,200.0258219
2264,1,4,2,,,,1,24,,,,,,,,,,1,3,0,1,8,0,,,,,,,,,,241.60236757
2284,1,4,1,3,2,,1,14,,,,,,,,,,1,3,0,1,10,0,,,,,,,,,,593.59712673
2298,1,6,2,,,,1,24,,,,,,,1,2,0,1,1,0,1,8,0,1,1,0,,,,,,,505.98395723
2333,1,5,1,4,2,,1,24,,,,,,,,,,1,1,0,1,10,0,1,1,0,,,,,,,271.97510745
2345,1,3,2,,,,1,24,,,,,,,1,4,0,1,9,0,1,9,0,1,2,0,,,,,,,13.48170725
2364,1,4,2,,,,1,24,,,,,,,1,1,0,1,9,0,1,9,0,1,5,0,,,,,,,205.03601215
2369,1,3,2,,,,1,24,,,,,,,1,4,0,1,7,0,1,12,0,1,1,0,,,,,,,364.39887077
2374,1,4,2,,,,1,24,,,,,,,1,3,0,1,3,0,1,9,0,,,,,,,,,,242.85614651
2405,1,4,1,1,1,1,1,24,,,,,,,,,,1,2,0,1,10,0,,,,,,,,,,181.01785966
2421,1,3,2,,,,1,24,,,,,,,1,3,0,1,3,0,1,9,0,,,,,,,,,,230.05603488
2429,1,3,1,1,2,,1,24,,,,,,,1,2,0,1,4,0,1,10,0,,,,,,,,,,347.66648407
2431,1,4,1,1,2,,1,24,,,,,,,1,6,0,1,8,0,1,10,0,,,,,,,,,,238.58468533
2439,1,2,2,,,,1,5,1,19,,,,,,,,1,5,0,1,7,0,,,,,,,,,,176.87913057
2450,1,5,2,,,,1,24,,,,,,,,,,,,,1,7,0,,,,,,,,,,488.42144893
2467,1,4,1,1,2,,1,24,,,,,,,1,2,0,1,3,0,1,8,0,,,,,,,,,,224.165789
2472,1,4,1,1,2,,1,24,,,,,,,1,0,30,,,,1,9,0,,,,,,,,,,289.49040461
2490,1,3,1,5,2,,1,24,,,,,,,1,0,30,1,2,0,1,12,0,,,,,,,,,,163.13240962
2501,1,2,2,,,,1,14,1,10,,,,,1,2,0,1,5,0,1,13,0,1,2,0,,,,,,,261.88530595
2510,1,4,2,,,,1,24,,,,,,,1,0,10,,,,1,10,0,,,,,,,,,,539.0689412
2512,1,4,1,1,1,6,1,24,,,,,,,1,1,0,1,5,0,1,10,0,,,,,,,,,,446.04838183
2512,1,5,1,1,2,,1,24,,,,,,,1,1,0,1,5,0,1,17,0,,,,,,,,,,446.04838183
2514,1,3,2,,,,1,24,,,,,,,,,,,,,1,20,0,,,,,,,,,,295.16578421
2541,1,4,2,,,,1,24,,,,,,,,,,,,,1,10,0,,,,,,,,,,978.3757279
2541,1,6,2,,,,1,24,,,,,,,,,,1,3,0,1,10,0,,,,,,,,,,978.3757279
2549,1,3,1,5,1,6,1,24,,,,,,,1,5,0,1,5,0,,,,,,,,,,,,,378.956228
2551,1,3,2,,,,1,24,,,,,,,1,0,30,1,4,0,1,10,0,,,,,,,,,,235.40384578
2562,1,3,2,,,,1,24,,,,,,,1,5,0,1,10,0,1,9,0,,,,,,,,,,297.9540046
2562,1,4,2,,,,1,24,,,,,,,1,2,0,1,5,0,1,17,0,,,,,,,,,,297.9540046
2570,2,4,2,,,,1,24,,,,,,,,,,1,4,0,,,,,,,,,,,,,755.22019537
2589,1,2,2,,,,,,1,24,,,,,,,,1,4,0,1,10,0,,,,,,,,,,697.57094483
2589,1,4,2,,,,1,24,,,,,,,,,,,,,1,12,0,,,,,,,,,,697.57094483
2607,1,3,2,,,,1,24,,,,,,,,,,1,1,0,1,9,0,1,1,0,,,,,,,267.33223984
2612,1,4,2,,,,1,24,,,,,,,,,,,,,1,2,0,,,,,,,,,,324.29914992
2617,1,4,1,1,2,,1,24,,,,,,,1,1,0,1,4,0,1,8,0,,,,,,,,,,714.6882474
2626,1,3,2,,,,1,24,,,,,,,1,5,0,1,6,0,1,11,0,1,2,0,,,,,,,299.38389508
2629,1,4,2,,,,1,24,,,,,,,,,,,,,1,8,0,,,,,,,,,,385.5994298
2637,1,3,2,,,,1,24,,,,,,,,,,1,3,0,1,14,0,,,,,,,,,,485.4128124
2640,1,2,1,1,2,,1,24,,,,,,,1,1,0,1,8,0,1,11,0,1,0,40,,,,,,,292.93508019
2644,1,4,2,,,,1,24,,,,,,,1,3,0,1,5,0,1,10,0,1,2,0,1,4,0,,,,373.8759664
2646,1,4,2,,,,1,24,,,,,,,1,2,0,1,4,0,1,8,0,,,,1,1,0,,,,833.64875203
2646,1,6,1,2,2,,1,24,,,,,,,1,5,0,1,4,0,1,2,0,,,,,,,,,,833.64875203
2665,1,3,1,2,2,,1,24,,,,,,,1,8,0,1,5,45,1,10,0,,,,,,,,,,67.57973348
2666,1,3,2,,,,1,24,,,,,,,,,,1,7,0,1,17,0,,,,,,,,,,403.61701613
2671,1,3,2,,,,1,24,,,,,,,1,4,0,1,6,0,1,10,0,,,,1,4,0,,,,11.485581328
2671,1,4,2,,,,1,24,,,,,,,1,5,0,1,5,0,1,10,0,1,4,0,,,,,,,11.485581328
2673,1,5,1,1,2,,1,24,,,,,,,,,,1,4,0,1,8,0,,,,,,,,,,323.21150461
2673,1,6,1,1,2,,1,24,,,,,,,,,,1,5,0,1,8,0,,,,,,,,,,323.21150461
2676,1,4,1,1,2,,1,24,,,,,,,1,5,0,1,3,0,1,11,0,1,3,0,,,,,,,389.01713183
2696,1,4,1,3,2,,1,24,,,,,,,,,,1,8,0,1,3,0,,,,,,,,,,272.85925319
2696,1,5,2,,,,1,24,,,,,,,,,,,,,1,10,0,,,,,,,,,,272.85925319
2713,1,3,2,,,,1,24,,,,,,,1,8,0,1,4,0,1,12,0,,,,,,,,,,319.5778881
2713,1,4,2,,,,1,24,,,,,,,1,6,0,1,6,0,1,10,0,,,,,,,,,,319.5778881
2716,1,3,2,,,,1,20,,,,,,,,,,1,2,0,1,2,0,,,,,,,,,,263.81651846
2723,1,4,1,1,2,,1,24,,,,,,,1,1,0,1,3,0,1,10,0,,,,,,,,,,254.57386784
2723,1,5,2,,,,1,24,,,,,,,,,,1,2,0,1,11,0,,,,,,,,,,254.57386784
